AreaName,1961,2013,,,
Ecuador,985300,5352000,,,
Honduras,425741,675437,,,
Panama,271000,252135,,,
Brazil,245950,97976,,,
Costa Rica,230128,1928095,,,
Colombia,205630,1549267,,,
Dominican Republic,162555,144523,,,
Guatemala,157524,1950497,,,
Cameroon,139700,255651,,,
Jamaica,124800,77,,,
Spain,96280,73461,,,
C™te d'Ivoire,91842,210614,,,
China,87980,25233,,,
Somalia,84320,18,,,
"China, Taiwan Province of",76510,7147,,,
Guinea,59400,0,,,
United States of America,42348,547224,,,
Saint Lucia,39190,13855,,,
Dominica,28400,2405,,,
Democratic Republic of the Congo,28336,66,,,
Mexico,22570,343774,,,
Saint Vincent and the Grenadines,21090,12100,,,
Samoa,18326,2,,,
Malaysia,17939,18814,,,
Lebanon,16400,48705,,,
Israel,13800,0,,,
Grenada,11993,59,,,
Mozambique,11630,15732,,,
India,11512,37150,,,
"China, mainland",11090,11042,,,
Ethiopia PDR,8500,13668,,,
Equatorial Guinea,7960,0,,,
Fiji,6820,2,,,
Viet Nam,5474,16524,,,
Ghana,4790,4497,,,
France,4230,282621,,,
Tonga,3950,6,,,
Paraguay,3320,8000,,,
Germany,2960,304683,,,
Trinidad and Tobago,2728,45,,,
Belgium-Luxembourg,2550,1228048,,,
Jordan,2220,0,,,
Cabo Verde,1740,0,,,
Thailand,1520,23733,,,
Nicaragua,1270,43258,,,
Suriname,1070,81042,,,
Egypt,1060,9391,,,
Angola,730,0,,,
Congo,680,0,,,
Madagascar,590,17,,,
Sudan (former),590,,,,
"China, Hong Kong SAR",380,7044,,,
Belize,320,98823,,,
Netherlands,220,315037,,,
Philippines,208,3267562,,,
Niue,175,,,,
Denmark,170,6590,,,
Haiti,153,0,,,
Cook Islands,145,0,,,
United Kingdom,136,31918,,,
Pakistan,130,86108,,,
Zimbabwe,120,47,,,
Portugal,67,4106,,,
Guyana,40,0,,,
Switzerland,40,3,,,
Italy,31,56126,,,
Syrian Arab Republic,30,0,,,
Malta,20,0,,,
French Polynesia,10,0,,,
British Virgin Islands,10,0,,,
Tunisia,10,800,,,
Morocco,5,54,,,
Sao Tome and Principe,2,0,,,
Argentina,0,0,,,
Australia,0,0,,,
Barbados,0,0,,,
Botswana,0,0,,,
Benin,0,0,,,
Libya,0,0,,,
"China, Macao SAR",0,0,,,
Mali,0,0,,,
Mauritius,0,0,,,
Norway,0,0,,,
Qatar,0,0,,,
Saint Kitts and Nevis,0,0,,,
Senegal,0,0,,,
Oman,0,0,,,
Turkey,0,0,,,
Bahrain,0,1,,,
Togo,0,1,,,
Sri Lanka,0,2,,,
Iceland,0,3,,,
Republic of Korea,0,5,,,
Japan,0,16,,,
New Zealand,0,18,,,
Kenya,0,20,,,
Burkina Faso,0,34,,,
Burundi,0,55,,,
Canada,0,56,,,
Cyprus,0,57,,,
United Republic of Tanzania,0,69,,,
Indonesia,0,100,,,
Singapore,0,138,,,
Finland,0,189,,,
Occupied Palestinian Territory,0,228,,,
Uganda,0,366,,,
Chile,0,449,,,
Bangladesh,0,568,,,
Swaziland,0,1384,,,
Saudi Arabia,0,2957,,,
Ireland,0,4426,,,
South Africa,0,7658,,,
Hungary,0,9308,,,
Poland,0,13082,,,
Iran (Islamic Republic of),0,13861,,,
United Arab Emirates,0,19126,,,
Sweden,0,21437,,,
Austria,0,21664,,,
Greece,0,32115,,,
Yemen,0,56249,,,
Kuwait,0,80668,,,
Bolivia (Plurinational State of),0,100952,,,
Czechoslovakia,0,,,,
Yugoslav SFR,0,,,,
Bahamas,,0,,,
Aruba,,0,,,
Brunei Darussalam,,0,,,
Cuba,,0,,,
El Salvador,,0,,,
Cambodia,,0,,,
Mauritania,,0,,,
Namibia,,0,,,
New Caledonia,,0,,,
Vanuatu,,0,,,
Niger,,0,,,
Rwanda,,0,,,
Seychelles,,0,,,
Zambia,,0,,,
Uruguay,,1,,,
Nepal,,2,,,
Venezuela (Bolivarian Republic of),,264,,,
Romania,,952,,,
Bulgaria,,5317,,,
Lao People's Democratic Republic,,15253,,,
Peru,,124146,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
